Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.37747156	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37748306	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37749456	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37750607	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37751759	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37752909	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37754059	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37755210	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37756361	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37757513	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37758664	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37759814	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37760964	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37762117	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37763267	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37764417	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37765567	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37766718	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37767870	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37769020	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37770170	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37771323	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37772473	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37773623	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37774773	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37775926	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37777076	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37778226	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37779378	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37780528	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37781679	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37782829	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37783982	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37785132	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37786283	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37787433	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37788583	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37789733	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37790886	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37792037	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37793187	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37794337	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37795490	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37796640	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37797791	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37798941	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37800091	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37801241	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37802392	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37803544	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37804694	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37805844	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37806997	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
