Day fraction since midnight on 11/11/2019	Time (seconds)	Time Elapsed (seconds)	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Effluent Fluoride Concentration (mg/L)	Flocculated Fluoride (mg/L)
Start expt!												
0.65847241	56892.01622	148.0032	0.10511109	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01956018	0.50307692	0.438699055	4.561300945
0.65848396	56893.01414	149.00112	0.10457266	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01956018	0.50307692	0.427392536	4.572607464
0.65849555	56894.01552	150.002496	0.105264	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01956018	0.50307692	0.441964214	4.558035786
0.65850712	56895.01517	151.002144	0.10458247	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01956018	0.50307692	0.427595907	4.572404093
0.65851869	56896.01482	152.001792	0.10410557	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01841583	0.50307692	0.417820404	4.582179596
0.65853026	56897.01446	153.00144	0.10663953	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01841583	0.50307692	0.472451101	4.527548899
0.65854182	56898.01325	154.000224	0.10443977	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01841583	0.50307692	0.424647101	4.575352899
0.65855341	56899.01462	155.0016	0.10439273	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01841583	0.50307692	0.423679513	4.576320487
0.65856498	56900.01427	156.001248	0.10576387	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01841583	0.50307692	0.452808704	4.547191296
0.65857656	56901.01478	157.00176	0.10510516	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01947026	0.50307692	0.438572916	4.561427084
0.65858812	56902.01357	158.000544	0.10543658	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01947026	0.50307692	0.445678597	4.554321403
0.65859969	56903.01322	159.000192	0.10564089	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01947026	0.50307692	0.450116268	4.549883732
0.65861128	56904.01459	160.001568	0.10426275	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01947026	0.50307692	0.421017338	4.578982662
0.65862287	56905.01597	161.002944	0.1044459	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01947026	0.50307692	0.424773355	4.575226645
0.65863442	56906.01389	162.000864	0.10555045	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01916238	0.50307692	0.448146461	4.551853539
0.65864601	56907.01526	163.00224	0.10526312	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01916238	0.50307692	0.441945353	4.558054647
0.65865758	56908.01491	164.001888	0.10470412	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01916238	0.50307692	0.430125891	4.569874109
0.65866915	56909.01456	165.001536	0.10589927	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01916238	0.50307692	0.455791686	4.544208314
0.65868071	56910.01334	166.00032	0.10516647	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01916238	0.50307692	0.439878814	4.560121186
0.65869229	56911.01386	167.000832	0.10540871	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01848554	0.50307692	0.445076653	4.554923347
0.65870386	56912.0135	168.00048	0.10541806	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01848554	0.50307692	0.445278506	4.554721494
